Gene1,Gene2
Fosb,Gadd45b
Fosb,Gan
Fosb,Gdnf
Fosb,Gdpd3
Fosb,Gigyf2
Fosb,Gm1078
Fosb,Gm13032
Fosb,Gm14005
Fosb,Gm14137
Fosb,Gm15417
Fosb,Gm16516
Fosb,Gm16897
Fosb,Gm19461
Fosb,Gm20172
Fosb,Gm9767
Fosb,Gm9781
Fosb,Gnas
Fosb,Gnat2
Fosb,Gnrh1
Fosb,Gpr111
Fosb,Gpr68
Fosb,Grhl3
Fosb,Gria2
Fosb,Grpr
Fosb,Gstp1
Fosb,Gstp2
Fosb,Hdac1
Fosb,Hdac2
Fosb,Hdac3
Fosb,Heph
Fos,Bhlhe40
Fosb,Hook2
Fosb,Hoxd10
Fosb,Hpcal4
Fosb,Hpdl
Fosb,Hs3st2
Fosb,Hs3st3b1
Fosb,Hspa12a
Fosb,Hspa5
Fosb,Hspb6
Fosb,Hyal4
Fosb,Ica1
Fosb,Ift27
Fosb,Ikzf3
Fosb,Il11
Fosb,Inadl
Fosb,Irf6
Fosb,Itga7
Fosb,Jrk
Fosb,Jun
Fosb,Junb
Fosb,Jund
Fosb,Katnb1
Fosb,Kcnh3
Fosb,Kcnk10
Fosb,Kcnk9
Fosb,Kcnmb2
Fosb,Kdm3a
Fosb,Kif5a
Fosb,Klhl21
Fosb,Klhl30
Fosb,Klk9
Fosb,Krt4
Fosb,Krtap15
Fosb,Ldb3
Fosb,Lepr
Fosb,Lgals1
Fosb,Lhx6
Fos,Blmh
Fosb,Lmna
Fosb,Lonrf1
Fosb,Lpin3
Fosb,Lrrc49
Fosb,Lrrfip2
Fosb,Lrrn4cl
Fosb,Lsp1
Fosb,Ltbp2
Fosb,Ly9
Fosb,Malt1
Fosb,Map3k14
Fosb,Mapk10
Fosb,Mapk11
Fosb,Mapk12
Fosb,Mapk13
Fosb,Mapk14
Fosb,Mapk8
Fosb,Mapk9
Fosb,Mapre2
Fosb,Mbnl1
Fosb,Mdc1
Fosb,Me1
Fosb,Mfsd11
Fosb,Mgat4c
Fosb,Mir125b-2
Fosb,Mir132
Fosb,Mir139
Fosb,Mir1956
Fosb,Mir212
Fosb,Mir2136
Fosb,Mir22
Fosb,Mir29b-2
Fosb,Mir29c
Fosb,Mir30a
Fosb,Mir330
Fosb,Mir711
Fosb,Mir802
Fosb,Mir9-3
Fosb,Mmp7
Fosb,Mpp5
Fos,Bmpr1b
Fosb,Mta1
Fosb,Mtap7d1
Fosb,Myo1e
Fosb,Myt1l
Fosb,Nacc2
Fosb,Ndrg4
Fosb,Nfkb1
Fosb,Ngf
Fosb,Ninj2
Fosb,Nisch
Fosb,Nlk
Fosb,Notch1
Fosb,Npas4
Fosb,Npr2
Fosb,Nptx2
Fosb,Nr0b1
Fosb,Nrap
Fosb,Nts
Fosb,Nuak1
Fosb,Nup98
Fosb,Obscn
Fosb,Olfm2
Fosb,Olfr1110
Fosb,Olfr1261
Fosb,Olfr691
Fosb,Olfr902
Fosb,Olfr937
Fosb,Olr1
Fosb,Osbpl10
Fosb,Ovol1
Fosb,P2ry6
Fosb,Pawr
Fosb,Pcdh10
Fosb,Pcdh17
Fosb,Pcdhga4
Fosb,Pcdhgb1
Fosb,Pcsk6
Fosb,Pde4a
Fosb,Pdia3
Fosb,Pfdn4
Fosb,Pgd
Fosb,Phlda2
Fosb,Phxr4
Fosb,Pick1
Fosb,Pla2g2e
Fosb,Plec
Fosb,Plekhg4
Fosb,Plekhh3
Fosb,Plp2
Fosb,Pold4
Fosb,Polr2h
Fosb,Pou4f3
Fosb,Ppl
Fosb,Ppp1r13l
Fosb,Ppp2r1b
Fosb,Praf2
Fosb,Prkar2a
Fosb,Procr
Fosb,Prok2
Fosb,Prss33
Fosb,Prx
Fosb,Psmc2
Fosb,Pth1r
Fosb,Ptprr
Fosb,Pusl1
Fosb,Rab27b
Fosb,Rab3d
Fosb,Rabgap1l
Fos,Braf
Fosb,Rarg
Fosb,Rassf1
Fosb,Rb1cc1
Fosb,Rbbp7
Fosb,Rbpjl
Fosb,Rc3h1
Fos,Brd8
Fosb,Rela
Fosb,Rexo2
Fosb,Rilp
Fosb,Rin1
Fosb,Rnf115
Fosb,Rnf34
Fosb,Rock2
Fosb,Rom1
Fosb,Rtn4rl1
Fosb,Rtn4rl2
Fosb,S100a2
Fosb,S100a3
Fosb,S100a4
Fosb,Sall1
Fosb,Scarf1
Fosb,Sdcbp2
Fosb,Sema3a
Fosb,Sept4
Fosb,Sertad1
Fosb,Sfrp4
Fosb,Sftpc
Fosb,Sgsm2
Fosb,Sh3kbp1
Fosb,Shc3
Fosb,Sirt1
Fosb,Sit1
Fosb,Slamf9
Fosb,Slc14a2
Fosb,Slc22a18
Fosb,Slc24a2
Fosb,Slc26a1
Fosb,Slc35e4
Fosb,Slc38a2
Fosb,Slc38a3
Fosb,Slc3a2
Fosb,Slc4a4
Fosb,Slc9a3r2
Fosb,Slc9a5
Fosb,Smarca2
Fosb,Smarcb1
Fosb,Sncb
Fosb,Sncg
Fosb,Soat2
Fosb,Sos2
Fosb,Sox6
Fosb,Sox9
Fosb,Spred3
Fosb,Sprr1a
Fosb,Spry3
Fosb,Spsb2
Fosb,St7l
Fosb,Stat5b
Fosb,Stbd1
Fosb,Stk40
Fosb,Stoml2
Fosb,Strn3
Fosb,Stx16
Fosb,Sv2b
Fosb,Synpo
Fosb,Taar4
Fosb,Taf10
Fosb,Taf4a
Fosb,Tbc1d17
Fosb,Tcf12
Fosb,Tcf3
Fosb,Tctex1d4
Fosb,Tex19.1
Fosb,Tfpi2
Fosb,Tgfbr2
Fos,Btk
Fosb,Tll1
Fosb,Tmem33
Fosb,Tmie
Fosb,Tmprss13
Fosb,Tnni3
Fosb,Tpd52l2
Fosb,Tppp2
Fosb,Tprg
Fosb,Traf2
Fosb,Traf3
Fosb,Trib1
Fosb,Ttc22
Fosb,Tuba4a
Fosb,Tubb3
Fosb,Tubb4b
Fosb,Tubb6
Fosb,Txnrd1
Fosb,Ubc
Fosb,Ubxn4
Fosb,Ucn2
Fos,Bud31
Fosb,Unk
Fosb,Uso1
Fosb,Uts2
Fosb,Vapa
Fosb,Vasp
Fosb,Vdr
Fosb,Vgf
Fosb,Vgll3
Fosb,Vit
Fosb,Vps13d
Fosb,Wdr13
Fosb,Xirp1
Fosb,Ywhag
Fosb,Zc3h12a
Fosb,Zcwpw1
Fosb,Zfp207
Fosb,Zfp36
Fosb,Zfp532
Fosb,Zfp574
Fosb,Zfp703
Fosb,Zfp771
Fosb,Zswim7
Fosb,Zyx
Fos,C130039o16rik
Fos,C2cd2
Fos,C530028o21rik
Fos,C730036e19rik
Fos,Cab39
Fos,Camk4
Fos,Camkv
Fos,Camta1
Fos,Car15
Fos,Car4
Fos,Card10
Fos,Ccdc115
Fos,Ccdc64
Fos,Ccdc70
Fos,Cckar
Fos,Ccl3
Fos,Ccl4
Fos,Ccna2
Fos,Ccnd1
Fos,Ccr10
Fos,Cd209b
Fos,Cd276
Fos,Cdc42
Fos,Cdk4
Fos,Cerk
Fos,Chst4
Fos,Chst8
Fos,Cic
Fos,Cirbp
Fos,Clca5
Fos,Clcf1
Fos,Cldn6
Fos,Clic1
Fos,Clu
Fos,Cmas
Fos,Col5a1
Fos,Col7a1
Fos,Coq10b
Fos,Cpa6
Fos,Cpeb4
Fos,Cpne8
Fos,Crabp2
Fos,Creb1
Fos,Csf2
Fos,Csrnp1
Fos,Ctbp1
Fos,Ctnna1
Fos,Ctps2
Fos,Cttnbp2nl
Fos,Cxcl14
Fos,Cxcr5
Fos,Cyld
Fos,D730001g18rik
Fos,D830029l11
Fos,D930015e06rik
Fos,D930028m14rik
Fos,D930032p07rik
Fos,Dab2
Fos,Dand5
Fos,Ddr1
Fos,Ddx52
Fos,Deaf1
Fos,Dennd1b
Fos,Dgkg
Fos,Dio3os
Fos,Dlg3
Fos,Dnaja2
Fos,Dnajb5
Fos,Dock3
Fos,Dock9
Fos,Drd4
Fos,Dus4l
Fos,Dusp1
Fos,Dusp4
Fos,Dvl2
Fos,Dyrk1a
Fos,Dysf
Fos,E2f6
Fos,Edn1
Fos,Eef1a1
Fos,Eef1d
Fos,Eftud2
Fos,Egf
Fos,Eif1ax
Fos,Eif3j
Fos,Eif4e
Fos,Elf4
Fos,Elf5
Fos,Eml2
Fos,Epo
Fos,Eps8l2
Fos,Eps8l3
Fos,Erbb3
Fos,Ercc1
Fos,Esr2
Fos,Ewsr1
Fos,Exd1
Fos,Eya1
Fos,F2
Fos,F3
Fos,Fads3
Fos,Faf1
Fos,Fam100a
Fos,Fam108b
Fos,Fam131c
Fos,Fam180a
Fos,Fam46a
Fos,Fam71d
Fos,Fam83h
Fos,Fbrs
Fos,Fbxl7
Fos,Fbxo10
Fos,Fermt3
Fos,Fgf10
Fos,Fgf15
Fos,Figf
Fos,Fli1
Fos,Fosl1
Fos,Foxo6
Fos,Frmd4a
Fos,Ftl1
Fos,Gabarapl1
Fos,Gabarapl2
Fos,Gadd45b
Fos,Gal
Fos,Galp
Fos,Gan
Fos,Gast
Fos,Gata4
Fos,Gdnf
Fos,Gdpd3
Fos,Ghrh
Fos,Ghrl
Fos,Gigyf2
Fos,Glis2
Fos,Glp1r
Fos,Gm1078
Fos,Gm13032
Fos,Gm14005
Fos,Gm14137
Fos,Gm15417
Fos,Gm16516
Fos,Gm16897
Fos,Gm19461
Fos,Gm20172
Fos,Gm9767
Fos,Gm9781
Fos,Gnas
Fos,Gnat2
Fos,Gpr108
Fos,Gpr111
Fos,Gpr68
Fos,Grhl3
Fos,Grin2d
Fos,Grpr
Fos,Gstp1
Fos,Gstp2
Fos,Gtf2i
Fos,Hcrt
Fos,Hdac3
Fos,Heph
Fos,Hgf
Fos,Hhex
Fos,Hook2
Fos,Hoxd10
Fos,Hpca
Fos,Hpcal4
Fos,Hpdl
Fos,Hras1
Fos,Hrh2
Fos,Hs3st2
Fos,Hs3st3b1
Fos,Hspa12a
Fos,Hspa5
Fos,Hspb6
Fos,Hyal4
Fos,Ica1
Fos,Ids
Fos,Ift27
Fos,Ikzf3
Fos,Il10
Fos,Il11
Fos,Il12a
Fos,Il12b
Fos,Il1a
Fos,Il1b
Fos,Il4
Fos,Inadl
Fos,Irf6
Fos,Irf9
Fos,Itga7
Fos,Jak1
Fos,Jak2
Fos,Jrk
Fos,Junb
Fos,Jund
Fos,Katnb1
Fos,Kcnh3
Fos,Kcnk10
Fos,Kcnk9
Fos,Kcnmb2
Fos,Kcnn2
Fos,Kdm3a
Fos,Kdm3b
Fos,Kif5a
Fos,Klhl21
Fos,Klhl30
Fos,Klk9
Fos,Kras
Fos,Krt4
Fos,Krt72-ps
Fos,Krt8
Fos,Krtap15
Fos,Ky
Fosl1,1700003m07rik
Fosl1,1700066b17rik
Fosl1,1810018f18rik
Fosl1,1810041l15rik
Fosl1,2200002d01rik
Fosl1,2210403k04rik
Fosl1,2810030e01rik
Fosl1,3200002m19rik
Fosl1,4732471j01rik
Fosl1,4930451c15rik
Fosl1,4930509k18rik
Fosl1,4930564g21rik
Fosl1,4930581f22rik
Fosl1,4933416m06rik
Fosl1,5730405o15rik
Fosl1,5830428m24rik
Fosl1,6430548m08rik
Fosl1,8430427h17rik
Fosl1,9130024f11rik
Fosl1,9930013l23rik
Fosl1,A330023f24rik
Fosl1,A330093e20rik
Fosl1,A530013c23rik
Fosl1,A630095n17rik
Fosl1,Abcf3
Fosl1,Abhd4
Fosl1,Acadvl
Fosl1,Adck4
Fosl1,Adra1a
Fosl1,Adra1b
Fosl1,Ahcyl2
Fosl1,Ank3
Fosl1,Anxa10
Fosl1,Anxa3
Fosl1,Apbb2
Fosl1,Ar
Fosl1,Arhgef10l
Fosl1,Arsg
Fosl1,Asah2
Fosl1,Asb5
Fosl1,Atp1b1
Fosl1,Au040320
Fosl1,B230312a22rik
Fosl1,Bach1
Fosl1,Bag3
Fosl1,Baz2a
Fosl1,Bc031353
Fosl1,Bc048644
Fosl1,Bcar1
Fosl1,Bend6
Fosl1,Bhlhe40
Fosl1,Blmh
Fosl1,Bmpr1b
Fosl1,Btk
Fosl1,Bud31
Fosl1,C130039o16rik
Fosl1,C2cd2
Fosl1,C530028o21rik
Fosl1,C730036e19rik
Fosl1,Cab39
Fosl1,Camkv
Fosl1,Camta1
Fosl1,Car15
Fosl1,Car4
Fosl1,Ccdc64
Fosl1,Ccdc70
Fosl1,Ccnd1
Fosl1,Ccr10
Fosl1,Cd44
Fosl1,Chst4
Fosl1,Chst8
Fosl1,Cirbp
Fosl1,Clca5
Fosl1,Clcf1
Fosl1,Cldn6
Fosl1,Clic1
Fosl1,Clu
Fosl1,Cmas
Fosl1,Col5a1
Fosl1,Col7a1
Fosl1,Coq10b
Fosl1,Cpa6
Fosl1,Cpeb4
Fosl1,Cpne8
Fosl1,Crabp2
Fosl1,Csf2
Fosl1,Csrnp1
Fosl1,Ctnna1
Fosl1,Ctps2
Fosl1,Cttnbp2nl
Fosl1,Cxcl14
Fosl1,D730001g18rik
Fosl1,D830029l11
Fosl1,D930015e06rik
Fosl1,D930032p07rik
Fosl1,Ddr1
Fosl1,Ddx52
Fosl1,Deaf1
Fosl1,Dgkg
Fosl1,Dnaja2
Fosl1,Dnajb5
Fosl1,Dusp4
Fosl1,Dvl2
Fosl1,Dyrk1a
Fosl1,Dysf
Fosl1,E2f6
Fosl1,Eef1a1
Fosl1,Eftud2
Fosl1,Eif1ax
Fosl1,Eif3j
Fosl1,Eif4e
Fosl1,Elf4
Fosl1,Elf5
Fosl1,Eml2
Fosl1,Eps8l3
Fosl1,Erbb3
Fosl1,Ercc1
Fosl1,Esr2
Fosl1,Ewsr1
Fosl1,Exd1
Fosl1,Eya1
Fosl1,F2
Fosl1,F3
Fosl1,Fads3
Fosl1,Faf1
Fosl1,Fam100a
Fosl1,Fam108b
Fosl1,Fam131c
Fosl1,Fam180a
Fosl1,Fam71d
Fosl1,Fam83h
Fosl1,Fbrs
Fosl1,Fbxo10
Fosl1,Fermt3
Fosl1,Fli1
Fosl1,Fosl1
Fosl1,Foxo6
Fosl1,Frmd4a
Fosl1,Ftl1
Fosl1,Gabarapl1
Fosl1,Gadd45b
Fosl1,Gan
Fosl1,Gdnf
Fosl1,Gdpd3
Fosl1,Gigyf2
Fosl1,Gm1078
Fosl1,Gm13032
Fosl1,Gm14005
Fosl1,Gm14137
Fosl1,Gm15417
Fosl1,Gm16516
Fosl1,Gm16897
Fosl1,Gm19461
Fosl1,Gm20172
Fosl1,Gm9767
Fosl1,Gm9781
Fosl1,Gnas
Fosl1,Gnat2
Fosl1,Gpr111
Fosl1,Gpr68
Fosl1,Grhl3
Fosl1,Grpr
Fosl1,Gstp1
Fosl1,Gstp2
Fosl1,Hdac3
Fosl1,Heph
Fosl1,Hook2
Fosl1,Hoxd10
Fosl1,Hpcal4
Fosl1,Hpdl
Fosl1,Hs3st2
Fosl1,Hs3st3b1
Fosl1,Hspa12a
Fosl1,Hspa5
Fosl1,Hspb6
Fosl1,Hyal4
Fosl1,Ica1
Fosl1,Ift27
Fosl1,Ikzf3
Fosl1,Il11
Fosl1,Inadl
Fosl1,Irf6
Fosl1,Itga7
Fosl1,Jrk
Fosl1,Jund
Fosl1,Katnb1
Fosl1,Kcnh3
Fosl1,Kcnk10
Fosl1,Kcnk9
Fosl1,Kcnmb2
Fosl1,Kdm3a
Fosl1,Kif5a
Fosl1,Klhl21
Fosl1,Klhl30
Fosl1,Klk9
Fosl1,Krt4
Fosl1,Krtap15
Fosl1,Ldb3
Fosl1,Lepr
Fosl1,Lhx6
Fosl1,Lmna
Fosl1,Lonrf1
Fosl1,Lpin3
Fosl1,Lrrc49
Fosl1,Lrrfip2
Fosl1,Lrrn4cl
Fosl1,Lsp1
Fosl1,Ltbp2
Fosl1,Ly9
Fosl1,Malt1
Fosl1,Map3k14
Fosl1,Mapk10
Fosl1,Mapk11
Fosl1,Mapk12
Fosl1,Mapk13
Fosl1,Mapk14
Fosl1,Mapk8
Fosl1,Mapk9
Fosl1,Mapre2
Fosl1,Mbnl1
Fosl1,Mdc1
Fosl1,Me1
Fosl1,Mfsd11
Fosl1,Mgat4c
Fosl1,Mir125b-2
Fosl1,Mir132
Fosl1,Mir139
Fosl1,Mir1956
Fosl1,Mir212
Fosl1,Mir2136
Fosl1,Mir22
Fosl1,Mir29b-2
Fosl1,Mir29c
Fosl1,Mir30a
Fosl1,Mir330
Fosl1,Mir711
Fosl1,Mir802
Fosl1,Mir9-3
Fosl1,Mmp7
Fosl1,Mmp9
Fosl1,Mpp5
Fosl1,Mtap7d1
Fosl1,Myo1e
Fosl1,Myt1l
Fosl1,Nacc2
Fosl1,Ndrg4
Fosl1,Ngf
Fosl1,Ninj2
Fosl1,Nisch
Fosl1,Nlk
Fosl1,Notch1
Fosl1,Npas4
Fosl1,Npr2
Fosl1,Nptx2
Fosl1,Nr0b1
Fosl1,Nrap
Fosl1,Nts
Fosl1,Nuak1
Fosl1,Nup98
Fosl1,Obscn
Fosl1,Olfm2
Fosl1,Olfr1110
Fosl1,Olfr1261
Fosl1,Olfr691
Fosl1,Olfr902
Fosl1,Olfr937
Fosl1,Olr1
Fosl1,Osbpl10
Fosl1,Ovol1
Fosl1,P2ry6
Fosl1,Pawr
Fosl1,Pcdh10
Fosl1,Pcdh17
Fosl1,Pcdhga4
Fosl1,Pcdhgb1
Fosl1,Pcsk6
Fosl1,Pde4a
Fosl1,Pdia3
Fosl1,Pfdn4
Fosl1,Pgd
Fosl1,Phlda2
Fosl1,Phxr4
Fosl1,Pick1
Fosl1,Pla2g2e
Fosl1,Plaur
Fosl1,Plec
Fosl1,Plekhg4
Fosl1,Plekhh3
Fosl1,Plp2
Fosl1,Pold4
Fosl1,Polr2h
Fosl1,Pou4f3
Fosl1,Ppl
Fosl1,Ppp1r13l
Fosl1,Ppp2r1b
Fosl1,Praf2
Fosl1,Prkar2a
Fosl1,Procr
Fosl1,Prok2
Fosl1,Prss33
Fosl1,Prx
Fosl1,Psmc2
Fosl1,Pth1r
Fosl1,Ptprr
Fosl1,Pusl1
Fosl1,Rab27b
Fosl1,Rab3d
Fosl1,Rabgap1l
Fosl1,Rarg
Fosl1,Rassf1
Fosl1,Rb1cc1
Fosl1,Rbbp7
Fosl1,Rbpjl
Fosl1,Rc3h1
Fosl1,Rexo2
Fosl1,Rilp
Fosl1,Rin1
Fosl1,Rnf115
Fosl1,Rnf34
Fosl1,Rock2
Fosl1,Rom1
Fosl1,Rtn4rl1
Fosl1,Rtn4rl2
Fosl1,S100a2
Fosl1,S100a3
Fosl1,S100a4
Fosl1,Sall1
Fosl1,Scarf1
Fosl1,Sdcbp2
Fosl1,Sema3a
Fosl1,Sept4
Fosl1,Sertad1
Fosl1,Sfrp4
Fosl1,Sftpc
Fosl1,Sgsm2
Fosl1,Sh3kbp1
Fosl1,Shc3
Fosl1,Sit1
Fosl1,Slamf9
Fosl1,Slc14a2
Fosl1,Slc22a18
Fosl1,Slc24a2
Fosl1,Slc26a1
Fosl1,Slc35e4
Fosl1,Slc38a2
Fosl1,Slc38a3
Fosl1,Slc3a2
Fosl1,Slc4a4
Fosl1,Slc9a3r2
Fosl1,Slc9a5
Fosl1,Smarca2
Fosl1,Smarcb1
Fosl1,Sncb
Fosl1,Sncg
Fosl1,Soat2
Fosl1,Sos2
Fosl1,Sox6
Fosl1,Sox9
Fosl1,Spred3
Fosl1,Sprr1a
Fosl1,Sprr1b
Fosl1,Spry3
Fosl1,Spsb2
Fosl1,Sry
Fosl1,St7l
Fosl1,Stat5b
Fosl1,Stbd1
Fosl1,Stk40
Fosl1,Stoml2
Fosl1,Strn3
Fosl1,Stx16
Fosl1,Sv2b
Fosl1,Synpo
Fosl1,Taar4
Fosl1,Taf10
Fosl1,Taf4a
Fosl1,Tbc1d17
Fosl1,Tcf12
Fosl1,Tcf3
Fosl1,Tctex1d4
Fosl1,Tex19.1
Fosl1,Tfpi2
Fosl1,Tgfbr2
Fosl1,Tll1
Fosl1,Tmem33
Fosl1,Tmie
Fosl1,Tmprss13
Fosl1,Tnni3
Fosl1,Tpd52l2
Fosl1,Tppp2
Fosl1,Tprg
Fosl1,Traf2
Fosl1,Traf3
Fosl1,Trib1
Fosl1,Ttc22
Fosl1,Tuba4a
Fosl1,Tubb3
Fosl1,Tubb4b
Fosl1,Tubb6
Fosl1,Txnrd1
Fosl1,Ubc
Fosl1,Ubxn4
Fosl1,Ucn2
Fosl1,Unk
Fosl1,Uso1
Fosl1,Uts2
Fosl1,Vapa
Fosl1,Vasp
Fosl1,Vdr
Fosl1,Vgf
Fosl1,Vgll3
Fosl1,Vit
Fosl1,Vps13d
Fosl1,Wdr13
Fosl1,Xirp1
Fosl1,Ywhag
Fosl1,Zc3h12a
Fosl1,Zcwpw1
Fosl1,Zfp207
Fosl1,Zfp36
Fosl1,Zfp532
Fosl1,Zfp574
Fosl1,Zfp703
Fosl1,Zfp771
Fosl1,Zswim7
Fosl1,Zyx
Fosl2,Dio2
Fosl2,Lep
Fosl2,Mapk10
Fosl2,Mapk11
Fosl2,Mapk12
Fosl2,Mapk13
Fosl2,Mapk14
Fosl2,Mapk8
Fosl2,Mapk9
Fos,Laptm5
Fos,Ldb3
Fos,Lep
Fos,Lepr
Fos,Lhx6
Fos,Lmna
Fos,Loc100047997
Fos,Loc640611
Fos,Lonrf1
Fos,Lpin3
Fos,Lpl
Fos,Lrrc49
Fos,Lrrfip2
Fos,Lrrn4cl
Fos,Lsp1
Fos,Ltbp2
Fos,Ly9
Fos,Mafb
Fos,Malt1
Fos,Map3k14
Fos,Map4k5
Fos,Mapk1
Fos,Mapk10
Fos,Mapk11
Fos,Mapk12
Fos,Mapk13
Fos,Mapk14
Fos,Mapk3
Fos,Mapk9
Fos,Mapre2
Fos,Mbnl1
Fos,Mdc1
Fos,Me1
Fos,Mfng
Fos,Mfsd11
Fos,Mgat4c
Fos,Mir1247
Fos,Mir125b-2
Fos,Mir132
Fos,Mir139
Fos,Mir153
Fos,Mir1956
Fos,Mir212
Fos,Mir2136
Fos,Mir22
Fos,Mir29b-2
Fos,Mir29c
Fos,Mir30a
Fos,Mir330
Fos,Mir690
Fos,Mir711
Fos,Mir802
Fos,Mir9-3
Fos,Mmp10
Fos,Mmp1a
Fos,Mmp1b
Fos,Mmp7
Fos,Mpp5
Fos,Mt2
Fos,Mtap7d1
Fos,Mtch2
Fos,Myc
Fos,Mycbp2
Fos,Myo1e
Fos,Myst2
Fos,Myt1l
Fos,Nacc2
Fos,Nap1l2
Fos,Ndrg4
Fos,Necab3
Fos,Ninj2
Fos,Nisch
Fos,Nkx2-9
Fos,Nlk
Fos,Nmu
Fos,Nog
Fos,Notch1
Fos,Npas4
Fos,Nppa
Fos,Npr2
Fos,Nptx2
Fos,Npy
Fos,Nr0b1
Fos,Nrap
Fos,Nras
Fos,Nts
Fos,Nuak1
Fos,Nucb2
Fos,Nup153
Fos,Nup98
Fos,Obscn
Fos,Olfm2
Fos,Olfr1110
Fos,Olfr1261
Fos,Olfr357
Fos,Olfr691
Fos,Olfr902
Fos,Olfr937
Fos,Olr1
Fos,Optn
Fos,Osbpl10
Fos,Ovol1
Fos,P2ry6
Fos,Pak6
Fos,Pawr
Fos,Pcdh10
Fos,Pcdh17
Fos,Pcdhga4
Fos,Pcdhgb1
Fos,Pcsk6
Fos,Pde4a
Fos,Pdgfrb
Fos,Pdia3
Fos,Pfdn4
Fos,Pgd
Fos,Pgf
Fos,Phlda2
Fos,Phxr4
Fos,Pick1
Fos,Pik3r1
Fos,Pim2
Fos,Pla2g2e
Fos,Plec
Fos,Plekhg4
Fos,Plekhh3
Fos,Plp2
Fos,Pnoc
Fos,Pold4
Fos,Polr2h
Fos,Porcn
Fos,Pou4f3
Fos,Ppl
Fos,Ppp1r13l
Fos,Ppp2r1b
Fos,Praf2
Fos,Prkar2a
Fos,Prkca
Fos,Prkcb
Fos,Prkcg
Fos,Prl
Fos,Procr
Fos,Prok2
Fos,Prosc
Fos,Prps1
Fos,Prss33
Fos,Prss54
Fos,Prx
Fos,Psmc2
Fos,Psmc5
Fos,Psmg3
Fos,Ptgs2
Fos,Pth
Fos,Pth1r
Fos,Ptprr
Fos,Pusl1
Fos,Qser1
Fos,Rab26
Fos,Rab27b
Fos,Rab37
Fos,Rab3d
Fos,Rabgap1l
Fos,Rad23b
Fos,Rara
Fos,Rarg
Fos,Rassf1
Fos,Rb1cc1
Fos,Rbbp7
Fos,Rbpjl
Fos,Rc3h1
Fos,Reep3
Fos,Relt
Fos,Rexo2
Fos,Rilp
Fos,Rin1
Fos,Rit2
Fos,Rln3
Fos,Rnf115
Fos,Rnf183
Fos,Rnf34
Fos,Rock2
Fos,Rom1
Fos,Rpl36a
Fos,Rtn4rl1
Fos,Rtn4rl2
Fos,S100a2
Fos,S100a3
Fos,S100a4
Fos,Sall1
Fos,Sash1
Fos,Scarf1
Fos,Schip1
Fos,Sdcbp2
Fos,Sema3a
Fos,Sept4
Fos,Sertad1
Fos,Sertad2
Fos,Sfrp4
Fos,Sftpc
Fos,Sgsm2
Fos,Sh3kbp1
Fos,Shc3
Fos,Sirt1
Fos,Sirt7
Fos,Sit1
Fos,Six4
Fos,Skor2
Fos,Slamf9
Fos,Slc14a2
Fos,Slc22a18
Fos,Slc24a2
Fos,Slc25a12
Fos,Slc26a1
Fos,Slc35e4
Fos,Slc38a2
Fos,Slc38a3
Fos,Slc3a2
Fos,Slc4a4
Fos,Slc9a3r2
Fos,Slc9a5
Fos,Smarca2
Fos,Smarca4
Fos,Smarca5
Fos,Smarcb1
Fos,Snapc5
Fos,Sncb
Fos,Sncg
Fos,Soat2
Fos,Sod2
Fos,Sos2
Fos,Sox6
Fos,Sox9
Fos,Spnb4
Fos,Spred3
Fos,Sprr1a
Fos,Spry3
Fos,Spsb2
Fos,Srf
Fos,Sst
Fos,St7l
Fos,St8sia6
Fos,Stat1
Fos,Stat3
Fos,Stat5b
Fos,Stbd1
Fos,Stk40
Fos,Stoml2
Fos,Strn3
Fos,Stx16
Fos,Stx17
Fos,Sv2b
Fos,Synpo
Fos,Taar4
Fos,Taf10
Fos,Taf15
Fos,Taf4a
Fos,Tbc1d17
Fos,Tbc1d8
Fos,Tbp
Fos,Tcf12
Fos,Tcf3
Fos,Tctex1d4
Fos,Tec
Fos,Tex19.1
Fos,Tfpi2
Fos,Tgfa
Fos,Tgfbr2
Fos,Th
Fos,Tle1
Fos,Tll1
Fos,Tlr2
Fos,Tlr4
Fos,Tmem200a
Fos,Tmem33
Fos,Tmie
Fos,Tmprss13
Fos,Tnf
Fos,Tnfsf11
Fos,Tnfsf4
Fos,Tnni3
Fos,Tox3
Fos,Tpd52l2
Fos,Tppp2
Fos,Tprg
Fos,Traf2
Fos,Traf3
Fos,Trib1
Fos,Trim65
Fos,Tro
Fos,Trp63
Fos,Trpv1
Fos,Trpv3
Fos,Ttc22
Fos,Tuba4a
Fos,Tubb3
Fos,Tubb4b
Fos,Tubb6
Fos,Txnrd1
Fos,Ubc
Fos,Ubxn4
Fos,Ucn2
Fos,Unk
Fos,Uso1
Fos,Usp35
Fos,Usp6nl
Fos,Uts2
Fos,Vapa
Fos,Vasp
Fos,Vat1
Fos,Vdr
Fos,Vegfa
Fos,Vegfb
Fos,Vegfc
Fos,Vgf
Fos,Vgll3
Fos,Vit
Fos,Vps13d
Fos,Wbp7
Fos,Wdr13
Fos,Wnt11
Fos,Xirp1
Fos,Ywhag
Fos,Yy1
Fos,Zbtb32
Fos,Zc3h12a
Fos,Zcwpw1
Fos,Zfp207
Fos,Zfp36
Fos,Zfp532
Fos,Zfp574
Fos,Zfp703
Fos,Zfp771
Fos,Zhx2
Fos,Zswim7
Fos,Zyx
Foxa1,Alx4
